iter	Logloss
0	0.6716882598
1	0.6524184443
2	0.6393529487
3	0.6224178864
4	0.6093252809
5	0.5949921039
6	0.5844797804
7	0.5705515996
8	0.5588067424
9	0.5460248292
10	0.5385834837
11	0.529288322
12	0.5195151026
13	0.5096159954
14	0.5001478352
15	0.4887002349
16	0.4771164828
17	0.4677216777
18	0.4601945641
19	0.4538805496
20	0.4453671342
21	0.4363542911
22	0.4293467146
23	0.4207504082
24	0.4134374063
25	0.4102184255
26	0.4046461183
27	0.3980743245
28	0.392434183
29	0.3875761791
30	0.3811404384
31	0.3761942864
32	0.3742996056
33	0.3693615952
34	0.3649004751
35	0.3595081943
36	0.3548127483
37	0.3520437676
38	0.3484873301
39	0.3457002533
40	0.3415699911
41	0.3378423442
42	0.3344040294
43	0.3291954077
44	0.3247287874
45	0.3211695784
46	0.317249306
47	0.3138951184
48	0.3114919342
49	0.3073860583
50	0.3051760521
51	0.3019982537
52	0.2998304469
53	0.2968725143
54	0.2936555916
55	0.2914565309
56	0.2896832757
57	0.2873689893
58	0.2840185845
59	0.2815999258
60	0.2791412326
61	0.2781002147
62	0.2763735788
63	0.2724201352
64	0.2692273818
65	0.2664278346
66	0.2650727793
67	0.2633324678
68	0.262118384
69	0.2596088479
70	0.2576011845
71	0.2552131573
72	0.253717655
73	0.2522377302
74	0.2499127789
75	0.2471430843
76	0.2457130518
77	0.2442016811
78	0.2426863154
79	0.2401309845
80	0.238600597
81	0.2365751192
82	0.2355244847
83	0.2344546428
84	0.2332441677
85	0.2315948121
86	0.2301912539
87	0.2288315365
88	0.2274338965
89	0.2257980884
90	0.2245531114
91	0.2238525448
92	0.2221387421
93	0.2212620435
94	0.2198449566
95	0.2185635728
96	0.2171028467
97	0.216332948
98	0.2154097254
99	0.214291421
100	0.2123537002
101	0.2113506512
102	0.2099228755
103	0.209466901
104	0.2087966426
105	0.2070600252
106	0.2057378614
107	0.2045493538
108	0.2031544299
109	0.2020049034
110	0.2009089509
111	0.1991063612
112	0.1976940211
113	0.1966357569
114	0.1956040571
115	0.1949340067
116	0.1945380994
117	0.1933912611
118	0.1920358928
119	0.1912598309
120	0.1897311466
121	0.1884979678
122	0.1878420427
123	0.1868025276
124	0.1861652249
125	0.1848147205
126	0.1839404485
127	0.1819754816
128	0.1809557005
129	0.1807273711
130	0.1800485478
131	0.1787521805
132	0.1774300903
133	0.1763569994
134	0.1760148886
135	0.1757294625
136	0.1748695917
137	0.174337577
138	0.1727665534
139	0.1724308728
140	0.1711802352
141	0.1704289922
142	0.169760564
143	0.1694772966
144	0.1687782339
145	0.1680092212
146	0.1672235713
147	0.1663758294
148	0.1652179117
149	0.1647864144
150	0.164208698
151	0.1633791741
152	0.1630516398
153	0.1625172631
154	0.1616221585
155	0.1607852251
156	0.1606040194
157	0.1599801525
158	0.1594778074
159	0.1584884593
160	0.1577788899
161	0.1572303937
162	0.156442566
163	0.1561106301
164	0.155587787
165	0.1551128647
166	0.1545212844
167	0.1539046048
168	0.1529854609
169	0.1520702604
170	0.1513222998
171	0.1500365259
172	0.1492765749
173	0.1486380061
174	0.1480188262
175	0.1471399644
176	0.146282273
177	0.1451494828
178	0.144259584
179	0.1434344612
180	0.1422945226
181	0.1418772608
182	0.1412563378
183	0.1408918098
184	0.140285113
185	0.139602369
186	0.1390547532
187	0.1385194
188	0.1381876852
189	0.1376721141
190	0.1366697225
191	0.1359318379
192	0.1356666451
193	0.1350184773
194	0.1339442277
195	0.1334040168
196	0.1325182848
197	0.1319186152
198	0.1309217373
199	0.1302433014
200	0.1299862697
201	0.1296725341
202	0.1287362066
203	0.1282273939
204	0.1273515771
205	0.127016709
206	0.1263635785
207	0.1257085121
208	0.1251285878
209	0.1244097976
210	0.1241924437
211	0.1236008314
212	0.1229985081
213	0.1226566069
214	0.1220665199
215	0.1213621868
216	0.121105043
217	0.1200948895
218	0.1197647919
219	0.1193264503
220	0.1183154596
221	0.1178054734
222	0.1169690594
223	0.1165136313
224	0.1159590093
225	0.11506504
226	0.1143945756
227	0.1136620425
228	0.113067644
229	0.1127141275
230	0.112236064
231	0.1117277644
232	0.1113325836
233	0.1107493264
234	0.1101292517
235	0.1096312053
236	0.1093628026
237	0.1087982785
238	0.1080727222
239	0.1076783489
240	0.1070872487
241	0.1065562498
242	0.1063979449
243	0.1058405314
244	0.1056403052
245	0.1050838752
246	0.1044738374
247	0.1038447672
248	0.1030755739
249	0.1023360889
250	0.1018664939
251	0.1015032893
252	0.1010292522
253	0.1006447269
254	0.09998710296
255	0.09949266753
256	0.09918771667
257	0.09885872739
258	0.09830738728
259	0.09776499055
260	0.09703049023
261	0.09681219629
262	0.09609761834
263	0.09563499925
264	0.09528891785
265	0.09478467897
266	0.09406454709
267	0.0936144046
268	0.0928876779
269	0.09247535343
270	0.09213406135
271	0.09184098868
272	0.09164640224
273	0.09144882503
274	0.09109952567
275	0.0905216585
276	0.09006706268
277	0.08986124173
278	0.08952243127
279	0.08923319503
280	0.08885872105
281	0.08858324151
282	0.08804131875
283	0.0876344602
284	0.08732779995
285	0.08666437027
286	0.08641106556
287	0.08617586595
288	0.08597465012
289	0.08554208006
290	0.08515055866
291	0.0849118992
292	0.08455521748
293	0.08436448627
294	0.08386193788
295	0.083241547
296	0.08272185445
297	0.08239652645
298	0.08199687545
299	0.0816304712
300	0.08116457722
301	0.08105273368
302	0.08087336788
303	0.08064410754
304	0.08017294993
305	0.07985860331
306	0.07938147934
307	0.07933033419
308	0.07908061457
309	0.07872006913
310	0.07840028907
311	0.07821305132
312	0.07783161254
313	0.07752308341
314	0.07742847321
315	0.07685735117
316	0.07673365238
317	0.07643025104
318	0.07614627124
319	0.07580015647
320	0.07549853673
321	0.07532091959
322	0.07510791593
323	0.07509476445
324	0.07475235099
325	0.07450855118
326	0.07424297981
327	0.07381026757
328	0.07366000977
329	0.07314199778
330	0.0727387478
331	0.07255591641
332	0.07222957084
333	0.07203915548
334	0.07176201166
335	0.07146098956
336	0.07136251256
337	0.07102595
338	0.0706766823
339	0.07049864113
340	0.0702698473
341	0.06994066199
342	0.06951270504
343	0.06913951495
344	0.06900359328
345	0.06889889027
346	0.0686233211
347	0.06845940852
348	0.06818498834
349	0.06773154094
350	0.06736527366
351	0.06699147693
352	0.06669362484
353	0.06643981107
354	0.06616269336
355	0.06608320843
356	0.0659012086
357	0.06578734689
358	0.0656812314
359	0.06562286738
360	0.06537123324
361	0.06504260533
362	0.06488781774
363	0.06443162902
364	0.06419689058
365	0.06410794952
366	0.06396453689
367	0.06375591207
368	0.0633691114
369	0.06305175253
370	0.06301787501
371	0.06257999562
372	0.06243538815
373	0.06213093449
374	0.06173580845
375	0.06136694625
376	0.06110336443
377	0.06077024568
378	0.0603472757
379	0.0600305645
380	0.05984689419
381	0.0596841361
382	0.05937829554
383	0.0592258581
384	0.05899495071
385	0.05882075634
386	0.05842528607
387	0.0582542903
388	0.05797387792
389	0.05778789331
390	0.05777502483
391	0.0574890351
392	0.05725457816
393	0.05708149639
394	0.05674442106
395	0.05638427528
396	0.05608227192
397	0.05582235978
398	0.05574118623
399	0.05558238349
400	0.05531569984
401	0.05497474281
402	0.05493730121
403	0.05491108865
404	0.05482539318
405	0.05448888713
406	0.05426230372
407	0.05403729601
408	0.05376927199
409	0.05352431097
410	0.05336525209
411	0.05311670121
412	0.05290191707
413	0.05271362011
414	0.05249054353
415	0.05248006888
416	0.05247030523
417	0.05220041269
418	0.05217865399
419	0.05202018737
420	0.05185375433
421	0.05165779294
422	0.05135143055
423	0.05118081691
424	0.05116139106
425	0.05093302081
426	0.05070866166
427	0.05052802126
428	0.05042749304
429	0.05026528815
430	0.05000004588
431	0.0497781274
432	0.04954718161
433	0.04927265865
434	0.0489878311
435	0.04881241668
436	0.04859817362
437	0.04855480461
438	0.04839277724
439	0.04829398154
440	0.0481395223
441	0.04788761576
442	0.04767484331
443	0.04744834067
444	0.04737934436
445	0.04736497665
446	0.04733925661
447	0.04713212369
448	0.047046065
449	0.04684491262
450	0.04678824045
451	0.04653405516
452	0.0463946
453	0.04620313961
454	0.04603858458
455	0.04588036076
456	0.04567265147
457	0.04543591676
458	0.04541554912
459	0.04524670855
460	0.04514686463
461	0.04485562099
462	0.0447157833
463	0.04455468656
464	0.04437765403
465	0.04421157145
466	0.04415924368
467	0.04397014116
468	0.04377631695
469	0.04367628074
470	0.04359347044
471	0.04337929789
472	0.04322038643
473	0.0431693733
474	0.04295831634
475	0.04277438672
476	0.04261668241
477	0.04256514013
478	0.04235934017
479	0.04233978389
480	0.04224690836
481	0.04218784353
482	0.0420632218
483	0.04183172031
484	0.04166750343
485	0.04152620875
486	0.04135828622
487	0.04119253624
488	0.04108748307
489	0.04094938066
490	0.04083064613
491	0.04067561233
492	0.04053163947
493	0.04043236611
494	0.04027261234
495	0.04014193583
496	0.04003171299
497	0.03987487846
498	0.03974808756
499	0.03970571385
500	0.03959252764
501	0.03946380768
502	0.03943858661
503	0.03928807143
504	0.03913219974
505	0.0391260485
506	0.03897499518
507	0.03885758334
508	0.03873782342
509	0.03858389727
510	0.03847821504
511	0.03832759584
